orginal_indice,orginal_batch10,corrected_text
53,"  they have any reaſonable claim.  The abſurdity of an hereditary nobility has, from    its firſt inſtitution, been fully demonſtrated. Let    us now examine, Whether the eſtabliſhment of any ","They have no reasonable claim. The absurdity of hereditary nobility has, from its first institution, been fully demonstrated. Let us now examine whether the establishment of any [privileged class or social order]"
54,"privileged caſt of men whatever, can be reconciled    to the principles of juſtice or of freedom? Two    things, I think, will be allowed to belong to a man  by the moſt ſacred right, his purſe, and his opinion.  Jo tax a man without his conſent, is to plunder  him. But is it not infinitely more tyrannical to ",take a man's purse without his consent? And what is more sacred than a man's opinion? Taxing a man without his consent is plunder. But isn't it infinitely more tyrannical to infringe upon a man's opinion?
55,"forbid the operation of his mind, and to rob him    of that right of eſtimation and diſcrimination    which every man, and even many animals, poſſeſs  from Nature, and which of all things ſhould be  free and ſpontaneous ? Here, however, under the  ","forbid the operation of his mind, and deprive him of that right of estimation and discrimination which every man, and even many animals, possess from Nature. This right, of all things, should be free and spontaneous. However, under certain circumstances, this was not the case."
56," 5 character of a Miniſter, or with the more auguſt    appellation of Monarch, a man comes forward, and   ang round the neck of another man a red or  ps bon, or affixing to his breaſt ſome gintering  toy: Bebold !” he exclaims, a GREAT MAN  But let not your ſaucy thoughts dare to eſtimate ","The five characters of a Minister, or with the more august appellation of Monarch, a man comes forward, and places a red or gold toy around another man's neck. Behold! he exclaims, ""This is a GREAT MAN."" But let not your saucy thoughts dare to estimate him by his appearance."
57,"the work of my hands; let it ſuffice to tell you,  here is a great man approach him like ſome terri-  ble animal, with much round- about reverence;  addreſs him in terms of circumlocution, fearfully    circumſpect; call him your Lord, even if 04    ſhould be the loweſt lacquey in my preſence 3 ","The work of my hands; let it suffice to tell you, here is a great man. Approach him like some terrible animal, with much round-about reverence. Address him in terms of circumlocution, fearfully circumspect. Call him your lord, even if he were the lowest lackey in my presence."
58,"  and ſalute him by the title of his Grace, his High-  neſs, his Excellency, were he the verieſt dunce, or  the moſt abandoned wretch in my dominions !“  What a barbarous refinement of tyranny is this!    But you are not bound, it will be ſaid, you are not  bound to any thing more than the mere exterior ","And he greets him with the title of ""his Grace,"" ""his Highness,"" ""his Excellency,"" even if he were the most ignorant or wretched person in my dominions! What a barbaric refinement of tyranny this is! But you are not bound, it will be said, you are not bound to anything more than the mere exterior appearance."
59,"ymbols of reſpect; your inward ſentiments may    ""Þreath the moſt profound contempt, at the very  . moment    moment that your outward deportment beſpeaks  the moſt profound veneration. This, indeed, is  ","symbols of respect; your inward feelings may harbor the most profound contempt, at the very moment that your outward behavior speaks the most profound veneration. This, indeed, is a complex human behavior."
60," the privilege of a ſlave, to curſe in his heart che  hand which he kiſſes with oſtentatious reſpect.  But is it then a ſmall grievance to be compelled to  act the hypocrite, to counterfeit eſteem, and to  make one's lips and geſtures give the lie to his  conſcience? Thus it is that we impoſe upon our  necks the yoke of diſſimulation.— Hence the de-  filement of the public manners; hence the perpe-  tual interchange of ſycophancy, which perverts the ","The privilege of a slave, to curse in his heart the hand he kisses with ostentatious respect. But is it then a small grievance to be forced to act the hypocrite, to feign esteem, and to make one's lips and gestures contradict one's conscience? Thus, we impose upon ourselves the yoke of dissimulation.— Hence the degeneration of public manners; hence the perpetual interchange of sycophancy, which perverts the truth."
61,"ſocial converſe of men; hence that leaven of du-    plicity, which impoiſons the common intercourſe    of life, and which renders our language a lie, our  lives a labyrinth of deceit. Thus we find the  eſtabliſhment of a privileged caſt of men incom-  patible, not only with freedom, but with Bad ","social conversation of men; hence that leaven of friendliness, which imposes the common intercourse of life, and which renders our language sincere, our lives understandable. Thus, we find the establishment of a privileged class of men incompatible, not only with freedom, but with Badness."
62,"  moxals.  But, fondly and childiſhly attached to the plare    of diſtinctions, to the ſplendid baubles of nobility,    ſome people perhaps will ſay, we acknowledge the ","Some people, fondly and childishly attached to distinctions, to the splendid baubles of nobility, may say we acknowledge the importance of titles."
